gene_id	transcript_id(s)	chromosome	tx_start	tx_end	strand	length	effective_length	expected_count	TPM	FPKM	posterior_mean_count	posterior_standard_deviation_of_count	pme_TPM	pme_FPKM	TPM_ci_lower_bound	TPM_ci_upper_bound	FPKM_ci_lower_bound	FPKM_ci_upper_bound	promoter_start	promoter_end	H3K4me3	H3K27me3
ENSG00000135617.3	ENST00000258083.2	chr2	73228009	73233239	-	1075.5	909.07	406	22.11	19.31	406	0	20.91	19.44	18.8598	22.9304	17.5266	21.3119	73232239	73235239	False	False
ENSG00000135624.15	ENST00000258091.9	chr2	73234307	73253005	+	1855.71	1689.28	16309	477.98	417.35	16309	0	452.23	420.35	442.844	462.132	411.553	429.297	73232307	73235307	False	False
ENSG00000163013.11	ENST00000295133.9	chr2	73254681	73269630	-	6455.41	6288.98	125	0.98	0.86	125	0	1.16	1.08	0.836232	1.54187	0.780146	1.43646	73268630	73271630	False	False
ENSG00000135625.7	ENST00000436467.3	chr2	73290928	73293548	-	2374.5	2208.07	0	0	0	0	0	0.04	0.04	0.00110356	0.0997992	0.000848817	0.0926019	73292548	73295548	False	False
ENSG00000252988.1	ENST00000517179.1	chr2	73298682	73298787	+	105	0	0	0	0	0	0	0	0	0	0	0	0	73296682	73299682	False	False
ENSG00000214484.3	ENST00000437188.1	chr2	73370018	73370892	+	874	707.57	0	0	0	0	0	0.07	0.06	8.25E-07	0.195341	7.67E-07	0.181616	73368018	73371018	False	False
ENSG00000116127.17	ENST00000423048.5	chr2	73451696	73573580	+	9342.56	9176.14	3770	20.34	17.76	3770	0	20.36	18.92	17.6595	23.2078	16.4134	21.5734	73449696	73452696	False	False
ENSG00000230002.2	ENST00000441587.2	chr2	73456763	73459482	+	2107	1940.57	95	2.42	2.12	95	0	2.28	2.12	1.83868	2.7467	1.709	2.55334	73454763	73457763	False	False
ENSG00000144035.3	ENST00000272425.3	chr2	73640722	73642422	-	947	780.57	0	0	0	0	0	0.06	0.05	5.79E-08	0.177859	2.24E-06	0.165379	73641422	73644422	False	False
ENSG00000163016.9	ENST00000428767.1	chr2	73671029	73685085	+	1261	1094.57	0	0	0	0	0	0.09	0.09	0.000931942	0.230536	0.000875817	0.214333	73669029	73672029	False	False
ENSG00000204872.4	ENST00000377712.3	chr2	73700575	73701340	-	765	598.58	0	0	0	0	0	0.08	0.07	1.50E-06	0.233018	1.40E-06	0.216633	73700340	73703340	False	False
ENSG00000144034.14	ENST00000272424.9	chr2	73729839	73737345	-	648.45	482.05	557	57.21	49.95	557	0	54.14	50.32	49.466	58.9955	45.9563	54.8091	73736345	73739345	False	False
ENSG00000273245.1	ENST00000608509.1	chr2	73750255	73750786	-	531	364.62	7	0.95	0.83	7	0	1.01	0.94	0.385903	1.72885	0.359064	1.60735	73749786	73752786	False	False
ENSG00000280037.1	ENST00000624373.1	chr2	73761268	73761781	-	513	346.63	1	0.14	0.12	1	0	0.27	0.25	0.00651579	0.63086	0.00611308	0.586469	73760781	73763781	False	False
ENSG00000144048.10	ENST00000272444.7	chr2	73762183	73780157	-	1630.75	1464.32	650	21.98	19.19	650	0	20.93	19.45	19.2619	22.605	17.9239	21.0347	73779157	73782157	False	False
ENSG00000187833.7	ENST00000409561.1	chr2	73784188	73817147	+	3045	2878.57	9	0.15	0.14	9	0	0.16	0.15	0.0695009	0.262185	0.0643545	0.243511	73782188	73785188	False	False
ENSG00000124356.15	ENST00000339566.7	chr2	73828915	73867168	+	2072.94	1906.51	1621	42.09	36.76	1621	0	40.12	37.29	36.737	43.5146	34.1488	40.4479	73826915	73829915	False	False
ENSG00000271536.1	ENST00000604756.1	chr2	73877565	73878862	+	527	360.63	0	0	0	0	0	0.13	0.12	1.47E-06	0.384738	1.36E-06	0.357718	73875565	73878565	False	False
ENSG00000163017.13	ENST00000345517.7	chr2	73893007	73919865	+	594	427.61	1	0.12	0.1	1	0	0.68	0.64	0.244652	1.17611	0.227312	1.09322	73891007	73894007	False	False
ENSG00000114956.19	ENST00000264093.8	chr2	73926879	73958946	+	837.62	671.2	1204	88.81	77.54	1204	0	83.61	77.72	78.5221	88.5857	73.0193	82.3883	73924879	73927879	False	False
ENSG00000237883.1	ENST00000413452.1	chr2	73958015	73981361	-	548.33	381.96	86	11.15	9.73	86	0	10.84	10.08	8.54245	13.1619	7.98639	12.28	73980361	73983361	False	False
ENSG00000201876.1	ENST00000365006.1	chr2	73968122	73968206	-	84	0	0	0	0	0	0	0	0	0	0	0	0	73967206	73970206	False	False
ENSG00000235499.1	ENST00000441217.1	chr2	73985131	73986343	+	390	223.78	11	2.43	2.12	11	0	2.47	2.3	1.15048	3.89252	1.08053	3.62959	73983131	73986131	False	False
ENSG00000279181.1	ENST00000623590.1	chr2	73998336	73998548	-	212	53.18	0	0	0	0	0	0.87	0.81	2.73E-06	2.60877	2.54E-06	2.42572	73997548	74000548	False	False
ENSG00000187605.15	ENST00000305799.8	chr2	74002712	74102176	+	11072.8	10906.37	1693	7.69	6.71	1693	0	7.3	6.78	6.85842	7.7547	6.37137	7.20462	74000712	74003712	False	False
ENSG00000257800.1	ENST00000551203.1	chr2	74120679	74123218	+	1994	1827.57	71	1.92	1.68	71	0	1.82	1.69	1.39792	2.23343	1.30119	2.07859	74118679	74121679	False	False
ENSG00000217702.2	ENST00000401851.2	chr2	74134471	74135395	+	709	542.61	0	0	0	0	0	0.2	0.19	0.00299676	0.504729	0.00158104	0.468141	74132471	74135471	False	False
ENSG00000163170.11	ENST00000295326.4	chr2	74135414	74147905	-	576.58	410.2	755	91.12	79.57	754.99	0.12	85.31	79.3	78.8353	91.8875	73.438	85.5716	74146905	74149905	False	False
ENSG00000225439.2	ENST00000423477.2	chr2	74148038	74150061	+	1736.44	1570.02	190	5.99	5.23	190	0	5.84	5.43	4.93617	6.8073	4.58783	6.32632	74146038	74149038	False	False
ENSG00000114978.17	ENST00000396049.4	chr2	74152527	74178879	-	2495.16	2328.74	5329	113.29	98.92	5329	0	106.19	98.71	100.769	111.866	93.7347	104.06	74177879	74180879	False	False
ENSG00000279201.1	ENST00000624449.1	chr2	74191387	74192245	+	484.5	346.32	0	0	0	0	0	43.08	40.04	0.00731264	129.806	0.00679537	120.721	74189387	74192387	False	False
ENSG00000279070.2	ENST00000624835.2	chr2	74196697	74198560	-	1863	1696.57	3	0.09	0.08	3	0	0.11	0.1	0.0186843	0.214289	0.0185676	0.200403	74197560	74200560	False	False
ENSG00000065911.11	ENST00000394053.6	chr2	74198614	74217565	+	1754.23	1587.8	13140	409.72	357.75	13140	0.04	382.67	355.69	372.841	392.177	346.88	364.779	74196614	74199614	False	False
ENSG00000264324.1	ENST00000451608.2	chr2	74211603	74363377	-	5059	4892.57	0	0	0	0.29	0.59	0.01	0.01	1.19E-07	0.0363168	1.11E-07	0.0337764	74362377	74365377	False	False
ENSG00000188687.15	ENST00000346834.8	chr2	74216242	74334193	-	3123	2956.57	1	0.02	0.01	0.89	0.31	0.56	0.52	0.200524	0.991759	0.185606	0.921304	74333193	74336193	False	False
ENSG00000229798.1	ENST00000454475.1	chr2	74306727	74308008	-	1281	1114.57	0	0	0	0	0	0.04	0.04	2.09E-08	0.124608	1.94E-08	0.115788	74307008	74310008	False	False
ENSG00000252214.1	ENST00000516405.1	chr2	74319398	74319501	+	103	0	0	0	0	0	0	0	0	0	0	0	0	74317398	74320398	False	False
ENSG00000234632.1	ENST00000455668.1	chr2	74350068	74351009	+	727	560.58	0	0	0	0	0	0.08	0.08	2.25E-07	0.245451	2.09E-07	0.228083	74348068	74351068	False	False
ENSG00000225658.1	ENST00000416876.1	chr2	74351133	74351419	+	286	121.12	0	0	0	0	0	0.38	0.35	3.53E-07	1.14159	3.28E-07	1.06048	74349133	74352133	False	False
ENSG00000204843.12	ENST00000361874.7	chr2	74361153	74380355	-	3305.16	3138.75	2528	39.88	34.82	2527.82	0.49	40.42	37.57	37.0304	43.8769	34.4001	40.7653	74379355	74382355	False	False
ENSG00000237737.5	ENST00000412957.5	chr2	74385523	74392896	+	978.33	811.93	0	0	0	0	0	0.49	0.46	0.116791	0.927486	0.108925	0.862782	74383523	74386523	False	False
ENSG00000234521.1	ENST00000448783.1	chr2	74407796	74413603	-	306	140.59	0	0	0	0	0	0.33	0.3	4.02E-06	0.974171	3.73E-06	0.90583	74412603	74415603	False	False
ENSG00000159239.11	ENST00000290390.9	chr2	74414177	74417717	-	883	716.57	3	0.21	0.18	3	0	0.51	0.48	0.147534	0.956425	0.139333	0.891493	74416717	74419717	False	False
ENSG00000233155.1	ENST00000414130.1	chr2	74418121	74418442	-	321	155.32	0	0	0	0	0	0.3	0.28	1.01E-06	0.892186	9.38E-07	0.829649	74417442	74420442	False	False
ENSG00000005448.16	ENST00000348227.4	chr2	74421729	74425755	+	1100.71	934.28	62	3.29	2.87	62	0	4.7	4.37	3.46322	6.06753	3.22595	5.64933	74419729	74422729	False	False
ENSG00000114993.15	ENST00000233330.6	chr2	74425882	74440631	-	1945.55	1779.13	36	1	0.87	36	0	1.65	1.54	1.02163	2.29092	0.948194	2.12895	74439631	74442631	False	False
ENSG00000115274.14	ENST00000233331.11	chr2	74455086	74457944	+	897.21	730.8	94	6.37	5.56	84.74	6.1	6.68	6.21	4.82768	8.61271	4.48729	8.00689	74453086	74456086	False	False
ENSG00000274049.4	ENST00000441673.2	chr2	74455099	74460846	+	2040	1873.57	0	0	0	15.98	10.13	0.48	0.45	0.022599	1.03965	0.0221474	0.968005	74453099	74456099	False	False
ENSG00000239779.6	ENST00000233615.6	chr2	74458437	74460881	+	1256.62	1090.19	90	4.09	3.57	82.6	4.99	4.79	4.45	3.62686	5.98365	3.37812	5.56768	74456437	74459437	False	False
ENSG00000204822.6	ENST00000258105.7	chr2	74471981	74472680	-	630.3	464	352.81	37.65	32.87	352.42	2.19	35.84	33.31	30.7544	41.2189	28.5931	38.3203	74471680	74474680	False	False
ENSG00000135637.13	ENST00000290418.4	chr2	74474101	74482996	-	2128.59	1962.17	76.19	1.92	1.68	76.59	2.19	2.53	2.36	1.78399	3.3385	1.6553	3.10095	74481996	74484996	False	False
ENSG00000115282.19	ENST00000233623.9	chr2	74483080	74494886	+	2468.33	2301.9	566	12.17	10.63	566	0	12.18	11.32	10.5527	13.8705	9.80171	12.8871	74481080	74484080	False	False
ENSG00000179528.15	ENST00000341396.2	chr2	74497581	74502984	-	1415.59	1249.16	17	0.67	0.59	17	0	1.48	1.37	0.648248	2.5054	0.603272	2.33002	74501984	74504984	False	False
ENSG00000272183.1	ENST00000606287.1	chr2	74501716	74502365	+	649	482.6	2	0.21	0.18	2	0	0.29	0.27	0.0284768	0.610279	0.0287398	0.569592	74499716	74502716	False	False
ENSG00000257702.3	ENST00000548978.2	chr2	74502594	74504678	+	2083	1916.57	22	0.57	0.5	22	0	0.6	0.56	0.369708	0.846829	0.343645	0.787113	74500594	74503594	False	False
ENSG00000115289.12	ENST00000233630.10	chr2	74505042	74507695	-	1013.2	846.78	271	15.84	13.83	271	0	16.3	15.15	13.6814	19.0557	12.7253	17.7264	74506695	74509695	False	False
ENSG00000115297.10	ENST00000233638.7	chr2	74514449	74517148	+	1202.25	1035.84	0	0	0	0	0	0.28	0.26	0.032504	0.620014	0.0308754	0.576945	74512449	74515449	False	False
ENSG00000144045.13	ENST00000393951.6	chr2	74518130	74526191	-	1391.12	1233.01	0	0	0	0	0	0.39	0.36	0.0950799	0.752221	0.0907042	0.701654	74525191	74528191	False	False
ENSG00000115307.16	ENST00000377526.3	chr2	74526651	74529706	-	1659.23	1492.8	1207	40.03	34.95	1207	0	37.87	35.2	35.7187	40.0455	33.1794	37.2072	74528706	74531706	False	False
ENSG00000115317.11	ENST00000258080.7	chr2	74529376	74533348	+	1296.27	1129.84	1174	51.44	44.92	1174	0	48.36	44.96	45.3509	51.4301	42.2172	47.8612	74527376	74530376	False	False
ENSG00000115318.11	ENST00000264094.7	chr2	74532257	74553942	-	2837	2670.57	6	0.11	0.1	6	0	0.61	0.56	0.246383	1.02139	0.226569	0.946943	74552942	74555942	False	False
ENSG00000115325.13	ENST00000233668.9	chr2	74554085	74557554	+	1732.25	1565.82	358	11.32	9.88	358	0	11.92	11.08	10.5012	13.3982	9.74635	12.4423	74552085	74555085	False	False
ENSG00000159374.17	ENST00000290536.9	chr2	74557882	74648037	-	1691	1524.57	2	0.06	0.06	2	0	0.97	0.9	0.254053	1.89846	0.230178	1.75952	74647037	74650037	False	False
ENSG00000233872.1	ENST00000428904.1	chr2	74618855	74620979	-	813	646.58	0	0	0	0	0	0.07	0.07	1.67E-06	0.213683	1.56E-06	0.198727	74619979	74622979	False	False
ENSG00000108442.2	ENST00000455082.1	chr2	74628327	74628942	-	615	448.6	0	0	0	0	0	0.1	0.1	3.55E-06	0.309391	3.31E-06	0.287672	74627942	74630942	False	False
ENSG00000135622.12	ENST00000339773.9	chr2	74654279	74680441	+	3410.73	3244.31	28	0.43	0.37	28	0	1.07	1	0.550129	1.65161	0.511179	1.53533	74652279	74655279	False	False
ENSG00000224646.2	ENST00000421570.1	chr2	74754669	74754819	-	150	11.37	0	0	0	0	0	4.06	3.77	9.66E-05	12.2341	8.99E-05	11.3733	74753819	74756819	False	False
ENSG00000272711.1	ENST00000610008.1	chr2	74832654	74833987	-	1333	1166.57	57	2.42	2.11	57	0	2.29	2.13	1.72364	2.88912	1.59989	2.68357	74832987	74835987	False	False
ENSG00000159399.9	ENST00000290573.6	chr2	74833980	74893359	+	5363.01	5196.59	1630.92	15.54	13.57	1630.91	0.3	14.82	13.77	13.8723	15.7926	12.9392	14.7256	74831980	74834980	False	False
ENSG00000236209.1	ENST00000418001.1	chr2	74919554	74924846	-	763	596.58	0	0	0	0	0	0.08	0.07	1.80E-06	0.233762	1.68E-06	0.21729	74923846	74926846	False	False
ENSG00000204792.2	ENST00000377469.1	chr2	74928238	74933024	+	1556	1389.62	0	0	0	0	0	0.3	0.28	0.0152095	0.70307	0.0131331	0.652888	74926238	74929238	False	False
ENSG00000230836.1	ENST00000453951.1	chr2	74940257	74942670	+	1266	1099.57	0	0	0	0	0	0.04	0.04	2.60E-06	0.12537	2.42E-06	0.116584	74938257	74941257	False	False
ENSG00000115350.11	ENST00000233699.8	chr2	74958791	74969731	+	626.78	460.42	493	53.01	46.29	493	0	50.67	47.1	44.236	57.1012	41.0637	53.0156	74956791	74959791	False	False
ENSG00000115353.10	ENST00000305249.9	chr2	75046462	75199520	-	2185.33	2019.13	0	0	0	0	0	0.34	0.31	0.00736258	0.923622	0.00626543	0.8585	75198520	75201520	False	False
ENSG00000263909.1	ENST00000577717.1	chr2	75090811	75090914	+	103	0	0	0	0	0	0	0	0	0	0	0	0	75088811	75091811	False	False
ENSG00000270571.2	ENST00000604271.2	chr2	75154365	75189949	+	3438	3271.57	3	0.05	0.04	3	0	0.06	0.05	0.00991329	0.111971	0.0092132	0.104126	75152365	75155365	False	False
ENSG00000236167.1	ENST00000424400.1	chr2	75455993	75456578	-	585	418.61	0	0	0	0	0	0.11	0.1	1.61E-06	0.329314	1.49E-06	0.306215	75455578	75458578	False	False
ENSG00000237293.1	ENST00000444852.1	chr2	75474452	75482579	+	336	170.13	0	0	0	0	0	0.27	0.25	5.47E-06	0.814252	5.08E-06	0.757165	75472452	75475452	False	False
ENSG00000238410.1	ENST00000459339.1	chr2	75489575	75489710	+	135	5.69	0	0	0	0	0	8.1	7.53	0.000121135	24.7173	0.000112573	22.9752	75487575	75490575	False	False
ENSG00000115363.13	ENST00000233712.5	chr2	75492317	75569722	-	910.64	744.24	0	0	0	0	0	1.03	0.96	0.410776	1.72178	0.379486	1.5981	75568722	75571722	False	False
ENSG00000231172.2	ENST00000451622.2	chr2	75524067	75542706	+	1185	1018.57	0	0	0	0	0	0.05	0.04	1.26E-07	0.136604	1.17E-07	0.127008	75522067	75525067	False	False
ENSG00000230477.1	ENST00000426657.1	chr2	75598070	75598559	+	489	322.64	0	0	0	0	0	0.14	0.13	1.21E-07	0.425081	1.12E-07	0.395165	75596070	75599070	False	False
ENSG00000221638.2	ENST00000408711.2	chr2	75627949	75628168	+	219	59.11	0	0	0	0	0	0.78	0.73	1.57E-05	2.33702	1.46E-05	2.17187	75625949	75628949	False	False
ENSG00000115364.13	ENST00000358788.10	chr2	75646793	75690759	+	1764.03	1597.6	2506	77.66	67.81	2506	0	73.49	68.3	69.4037	77.5554	64.6426	72.2109	75644793	75647793	False	False
ENSG00000226247.1	ENST00000423067.1	chr2	75651287	75651627	-	340	174.08	0	0	0	0	0	0.26	0.25	5.67E-06	0.798564	1.04E-05	0.742834	75650627	75653627	False	False
ENSG00000270696.1	ENST00000604845.1	chr2	75660461	75662208	+	1747	1580.57	249	7.8	6.81	249	0	7.3	6.78	6.40486	8.211	5.93464	7.6146	75658461	75661461	False	False
ENSG00000005436.13	ENST00000321027.7	chr2	75662704	75710915	-	1535.61	1369.2	628	22.71	19.83	628	0	21.82	20.28	18.5527	25.102	17.2164	23.3013	75709915	75712915	False	False
ENSG00000271452.1	ENST00000604219.1	chr2	75669988	75670454	+	466	299.66	6	0.99	0.87	6	0	1.08	1	0.364572	1.88143	0.334426	1.74567	75667988	75670988	False	False
ENSG00000270462.1	ENST00000604464.1	chr2	75697582	75697996	+	414	247.72	0	0	0	0	0	0.19	0.17	1.09E-07	0.55751	1.01E-07	0.518044	75695582	75698582	False	False
ENSG00000270996.1	ENST00000603612.1	chr2	75719119	75720018	+	899	732.57	0	0	0	0	0	0.06	0.06	2.95E-06	0.18931	2.75E-06	0.176036	75717119	75720119	False	False
ENSG00000233107.1	ENST00000417269.1	chr2	76106015	76107324	-	1309	1142.57	0	0	0	0	0	0.04	0.04	3.92E-07	0.120858	3.64E-07	0.112472	76106324	76109324	False	False
ENSG00000228209.1	ENST00000398059.3	chr2	76258033	76258897	-	864	697.57	0	0	0	0	0	0.07	0.06	1.44E-06	0.198708	1.34E-06	0.184668	76257897	76260897	False	False
ENSG00000271356.1	ENST00000603205.1	chr2	76260754	76261661	-	907	740.57	0	0	0	0	0	0.06	0.06	1.36E-06	0.185993	1.27E-06	0.173004	76260661	76263661	False	False
ENSG00000200488.1	ENST00000363618.1	chr2	76445078	76445410	-	332	166.17	10.45	3.11	2.72	10.5	0.74	3.19	2.97	1.44572	5.11935	1.33253	4.74889	76444410	76447410	False	False
ENSG00000251947.1	ENST00000516138.1	chr2	76595412	76595678	-	266	101.94	0	0	0	0	0	0.45	0.42	4.99E-05	1.36067	4.64E-05	1.26558	76594678	76597678	False	False
ENSG00000200028.1	ENST00000363158.1	chr2	76772908	76773045	+	137	6.32	0	0	0	0	0	7.3	6.78	0.000393193	21.9689	0.00036472	20.4226	76770908	76773908	False	False
ENSG00000234653.1	ENST00000445178.1	chr2	76985964	77009791	+	1000	833.57	0	0	0	0	0	0.06	0.05	2.32E-07	0.166189	2.16E-07	0.154606	76983964	76986964	False	False
ENSG00000176204.13	ENST00000409088.3	chr2	77516667	77522376	-	718.3	551.94	2	0.18	0.16	2	0	0.49	0.46	0.130453	0.940206	0.12261	0.875166	77521376	77524376	False	False
ENSG00000227088.1	ENST00000437233.1	chr2	77652412	77654668	-	284	119.18	0	0	0	0	0	0.39	0.36	2.57E-05	1.15869	2.39E-05	1.07703	77653668	77656668	False	False
ENSG00000230968.1	ENST00000438443.1	chr2	77672214	77673792	+	797	630.58	0	0	0	0	0	0.07	0.07	7.91E-07	0.218417	7.35E-07	0.203066	77670214	77673214	False	False
ENSG00000237077.1	ENST00000422418.1	chr2	77788381	77793087	+	311.5	149.57	0	0	0	0	0	1.16	1.07	0.0107895	3.12811	0.0100309	2.90824	77786381	77789381	False	False
ENSG00000233605.2	ENST00000443419.2	chr2	77915906	77918009	+	637	470.6	0	0	0	0	0	0.1	0.09	2.31E-07	0.294815	2.15E-07	0.274123	77913906	77916906	False	False
ENSG00000229494.1	ENST00000439259.1	chr2	78088729	78127806	+	1103	936.57	0	0	0	0	0	0.05	0.05	2.34E-06	0.14716	2.18E-06	0.136869	78086729	78089729	False	False
ENSG00000214429.3	ENST00000434498.1	chr2	78412792	78413094	-	302	136.68	6	2.17	1.9	6	0	2.36	2.2	0.812832	4.13317	0.762568	3.84978	78412094	78415094	False	False
ENSG00000270470.1	ENST00000604823.1	chr2	78437849	78438921	+	1072	905.57	0	0	0	0	0	0.05	0.05	4.66E-08	0.152453	4.34E-08	0.141872	78435849	78438849	False	False
ENSG00000234877.2	ENST00000420648.2	chr2	78597910	78599406	+	371	204.86	0	0	0	0	0	0.23	0.21	4.14E-06	0.680822	3.84E-06	0.633321	78595910	78598910	False	False
ENSG00000202423.1	ENST00000365553.1	chr2	78882446	78882552	+	106	0	0	0	0	0	0	0	0	0	0	0	0	78880446	78883446	False	False
ENSG00000200048.1	ENST00000363178.1	chr2	78882627	78882734	+	107	0	0	0	0	0	0	0	0	0	0	0	0	78880627	78883627	False	False
ENSG00000143954.12	ENST00000272324.9	chr2	79025701	79028501	+	786.8	620.39	0	0	0	0	0	0.4	0.38	0.0920367	0.778747	0.0863052	0.724594	79023701	79026701	False	False
ENSG00000172023.7	ENST00000305089.7	chr2	79085022	79087993	-	890.4	723.99	0	0	0	0	0	0.37	0.35	0.0780791	0.725421	0.0702153	0.672119	79086993	79089993	False	False
ENSG00000115386.5	ENST00000233735.1	chr2	79120487	79123409	+	718.25	551.84	0	0	0	0	0	0.36	0.33	0.0599447	0.724247	0.0559327	0.673545	79118487	79121487	False	False
ENSG00000204787.8	ENST00000377435.8	chr2	79135502	79138427	-	868.86	702.47	0	0	0	0	0	0.7	0.65	0.203094	1.27182	0.188773	1.18255	79137427	79140427	False	False
ENSG00000172016.15	ENST00000305165.2	chr2	79157091	79159749	-	746.4	579.99	0	0	0	0	0	0.44	0.41	0.0948883	0.839834	0.0884005	0.78099	79158749	79161749	False	False
ENSG00000224879.1	ENST00000415201.1	chr2	79158373	79185523	+	491	324.64	0	0	0	0	0	0.14	0.13	1.84E-06	0.426934	1.71E-06	0.397159	79156373	79159373	False	False
ENSG00000229385.1	ENST00000443301.1	chr2	79492881	79500844	-	669	502.59	0	0	0	0	0	0.09	0.09	1.33E-06	0.273624	1.24E-06	0.254378	79499844	79502844	False	False
ENSG00000277171.1	ENST00000618727.1	chr2	79547150	79548128	-	978	811.57	0	0	0	0	0	0.06	0.05	8.40E-07	0.171428	7.81E-07	0.159406	79547128	79550128	False	False
ENSG00000230237.1	ENST00000427781.1	chr2	79573763	79575593	-	588	421.61	0	0	0	0	0	0.11	0.1	1.42E-06	0.330176	1.32E-06	0.30722	79574593	79577593	False	False
ENSG00000252031.1	ENST00000516222.1	chr2	79636861	79636963	-	102	0	0	0	0	0	0	0	0	0	0	0	0	79635963	79638963	False	False
ENSG00000266436.1	ENST00000583520.1	chr2	79649293	79649359	-	66	0	0	0	0	0	0	0	0	0	0	0	0	79648359	79651359	False	False
ENSG00000276917.1	ENST00000622224.1	chr2	79866494	79866583	-	89	0	0	0	0	0	0	0	0	0	0	0	0	79865583	79868583	False	False
ENSG00000224731.1	ENST00000418621.1	chr2	80028011	80030551	-	486	319.64	0	0	0	0	0	0.14	0.13	7.34E-07	0.429417	6.83E-07	0.399308	80029551	80032551	False	False
ENSG00000223427.1	ENST00000265882.5	chr2	80162427	80163135	-	708	541.59	0	0	0	0.05	0.23	0.09	0.08	1.44E-07	0.270987	1.34E-07	0.252011	80162135	80165135	False	False
ENSG00000162951.10	ENST00000295057.3	chr2	80301877	80304752	-	1998.71	1832.29	0	0	0	0	0	0.32	0.3	0.0787878	0.63604	0.0709877	0.589195	80303752	80306752	False	False
ENSG00000066032.18	ENST00000343114.7	chr2	80313378	80648861	+	1296.82	1130.42	4	0.18	0.15	4	0	1.67	1.55	0.840402	2.58328	0.778042	2.39855	80311378	80314378	False	False
ENSG00000237031.7	ENST00000430876.5	chr2	80575112	80616538	-	506.09	342.78	0	0	0	0	0	5.33	4.95	0.923911	11.9149	0.854514	11.0775	80615538	80618538	False	False
ENSG00000230975.1	ENST00000450290.1	chr2	80699387	80870190	-	769	602.58	0	0	0	0	0	0.08	0.07	4.66E-07	0.233058	4.34E-07	0.216877	80869190	80872190	False	False
ENSG00000234429.1	ENST00000378334.3	chr2	81194336	81201184	-	6848	6681.57	0	0	0	0	0	0.01	0.01	3.35E-08	0.020727	3.12E-08	0.0192884	81200184	81203184	False	False
ENSG00000231722.1	ENST00000436549.1	chr2	81418722	81419302	-	580	413.61	0	0	0	0	0	0.11	0.1	1.93E-06	0.335099	1.79E-06	0.311698	81418302	81421302	False	False
ENSG00000235519.1	ENST00000446580.1	chr2	81461361	81466979	-	520	353.63	0	0	0	0	0	0.13	0.12	1.70E-06	0.392846	1.58E-06	0.365391	81465979	81468979	False	False
ENSG00000200890.1	ENST00000364020.1	chr2	81496213	81496327	-	114	1.38	0	0	0	0	0	33.32	30.97	0.000798059	98.5147	0.000742097	91.6261	81495327	81498327	False	False
ENSG00000233444.1	ENST00000426710.1	chr2	81666476	81666728	-	252	88.77	0	0	0	0	0	0.52	0.48	1.86E-05	1.58038	4.31E-05	1.46935	81665728	81668728	False	False
ENSG00000242118.3	ENST00000482306.3	chr2	81967078	81967374	+	296	130.83	0	0	0	0	0	0.35	0.33	5.11E-06	1.07031	4.75E-06	0.995469	81965078	81968078	False	False
ENSG00000231781.1	ENST00000455845.1	chr2	81983271	82005700	-	488	321.64	0	0	0	0	0	0.14	0.13	8.96E-06	0.427057	8.35E-06	0.397106	82004700	82007700	False	False
ENSG00000229560.1	ENST00000436977.1	chr2	82268426	82269927	-	1501	1334.57	0	0	0	0	0	0.03	0.03	2.23E-07	0.103874	2.07E-07	0.0965057	82268927	82271927	False	False
ENSG00000252897.1	ENST00000517088.1	chr2	82268611	82268706	+	95	0	0	0	0	0	0	0	0	0	0	0	0	82266611	82269611	False	False
ENSG00000201311.1	ENST00000364441.1	chr2	82307066	82307168	-	102	0	0	0	0	0	0	0	0	0	0	0	0	82306168	82309168	False	False
ENSG00000237498.2	ENST00000437290.2	chr2	82479127	82538711	-	385	218.8	0	0	0	0	0	0.21	0.2	4.02E-06	0.633139	3.74E-06	0.588951	82537711	82540711	False	False
ENSG00000226860.1	ENST00000417406.1	chr2	82609651	82609977	+	326	160.25	0	0	0	0	0	0.29	0.27	4.07E-06	0.860167	3.78E-06	0.799614	82607651	82610651	False	False
ENSG00000226700.1	ENST00000441039.1	chr2	82814983	82815516	+	533	366.62	0	0	0	0	0	0.13	0.12	1.38E-08	0.377132	1.29E-08	0.35072	82812983	82815983	False	False
ENSG00000225045.1	ENST00000428871.1	chr2	82815808	82817528	+	1720	1553.57	0	0	0	0	0	0.03	0.03	9.73E-07	0.0882771	9.04E-07	0.0820455	82813808	82816808	False	False
ENSG00000224695.1	ENST00000433237.1	chr2	82817537	82818061	-	524	357.63	0	0	0	0	0	0.13	0.12	7.81E-07	0.387309	7.25E-07	0.360207	82817061	82820061	False	False
ENSG00000227789.1	ENST00000419540.1	chr2	82818130	82819264	+	1134	967.57	0	0	0	0	0	0.05	0.04	1.34E-06	0.141517	1.24E-06	0.131642	82816130	82819130	False	False
ENSG00000168129.8	ENST00000455595.1	chr2	82856825	82857384	+	559	392.62	1	0.13	0.11	1	0	0.23	0.22	0.00599261	0.558907	0.00520876	0.519268	82854825	82857825	False	False
ENSG00000223977.1	ENST00000418060.1	chr2	83218889	83219105	-	216	56.55	0	0	0	0	0	0.82	0.76	7.73E-06	2.42662	7.18E-06	2.25644	83218105	83221105	False	False
ENSG00000232548.1	ENST00000448431.1	chr2	83522813	83523502	+	303	137.66	0	0	0	0	0	0.34	0.31	1.40E-05	1.01533	1.30E-05	0.944258	83520813	83523813	False	False
